symboling,CarName,fueltype,carbody,drivewheel,enginesize,horsepower,price
3,alfa-romero giulia,gas,convertible,rwd,130,111,13495.0
3,alfa-romero stelvio,gas,convertible,rwd,130,111,16500.0
1,alfa-romero Quadrifoglio,gas,hatchback,rwd,152,154,16500.0
2,audi 100 ls,gas,sedan,fwd,109,102,13950.0
2,audi 100ls,gas,sedan,4wd,136,115,17450.0
2,audi fox,gas,sedan,fwd,136,110,15250.0
1,audi 100ls,gas,sedan,fwd,136,110,17710.0
1,audi 5000,gas,wagon,fwd,136,110,18920.0
1,audi 4000,gas,sedan,fwd,131,140,23875.0
0,audi 5000s (diesel),gas,hatchback,4wd,131,160,17859.167
2,bmw 320i,gas,sedan,rwd,108,101,16430.0
0,bmw 320i,gas,sedan,rwd,108,101,16925.0
0,bmw x1,gas,sedan,rwd,164,121,20970.0
0,bmw x3,gas,sedan,rwd,164,121,21105.0
1,bmw z4,gas,sedan,rwd,164,121,24565.0
0,bmw x4,gas,sedan,rwd,209,182,30760.0
0,bmw x5,gas,sedan,rwd,209,182,41315.0
0,bmw x3,gas,sedan,rwd,209,182,36880.0
2,chevrolet impala,gas,hatchback,fwd,61,48,5151.0
1,chevrolet monte carlo,gas,hatchback,fwd,90,70,6295.0
0,chevrolet vega 2300,gas,sedan,fwd,90,70,6575.0
1,dodge rampage,gas,hatchback,fwd,90,68,5572.0
1,dodge challenger se,gas,hatchback,fwd,90,68,6377.0
1,dodge d200,gas,hatchback,fwd,98,102,7957.0
1,dodge monaco (sw),gas,hatchback,fwd,90,68,6229.0
1,dodge colt hardtop,gas,sedan,fwd,90,68,6692.0
1,dodge colt (sw),gas,sedan,fwd,90,68,7609.0
1,dodge coronet custom,gas,sedan,fwd,98,102,8558.0
-1,dodge dart custom,gas,wagon,fwd,122,88,8921.0
3,dodge coronet custom (sw),gas,hatchback,fwd,156,145,12964.0
2,honda civic,gas,hatchback,fwd,92,58,6479.0
2,honda civic cvcc,gas,hatchback,fwd,92,76,6855.0
1,honda civic,gas,hatchback,fwd,79,60,5399.0
1,honda accord cvcc,gas,hatchback,fwd,92,76,6529.0
1,honda civic cvcc,gas,hatchback,fwd,92,76,7129.0
0,honda accord lx,gas,sedan,fwd,92,76,7295.0
0,honda civic 1500 gl,gas,wagon,fwd,92,76,7295.0
0,honda accord,gas,hatchback,fwd,110,86,7895.0
0,honda civic 1300,gas,hatchback,fwd,110,86,9095.0
0,honda prelude,gas,sedan,fwd,110,86,8845.0
0,honda accord,gas,sedan,fwd,110,86,10295.0
0,honda civic,gas,sedan,fwd,110,101,12945.0
1,honda civic (auto),gas,sedan,fwd,110,100,10345.0
0,isuzu MU-X,gas,sedan,rwd,111,78,6785.0
1,isuzu D-Max ,gas,sedan,fwd,90,70,8916.5
0,isuzu D-Max V-Cross,gas,sedan,fwd,90,70,8916.5
2,isuzu D-Max ,gas,hatchback,rwd,119,90,11048.0
0,jaguar xj,gas,sedan,rwd,258,176,32250.0
0,jaguar xf,gas,sedan,rwd,258,176,35550.0
0,jaguar xk,gas,sedan,rwd,326,262,36000.0
1,maxda rx3,gas,hatchback,fwd,91,68,5195.0
1,maxda glc deluxe,gas,hatchback,fwd,91,68,6095.0
1,mazda rx2 coupe,gas,hatchback,fwd,91,68,6795.0
1,mazda rx-4,gas,sedan,fwd,91,68,6695.0
1,mazda glc deluxe,gas,sedan,fwd,91,68,7395.0
3,mazda 626,gas,hatchback,rwd,70,101,10945.0
3,mazda glc,gas,hatchback,rwd,70,101,11845.0
3,mazda rx-7 gs,gas,hatchback,rwd,70,101,13645.0
3,mazda glc 4,gas,hatchback,rwd,80,135,15645.0
1,mazda 626,gas,hatchback,fwd,122,84,8845.0
0,mazda glc custom l,gas,sedan,fwd,122,84,8495.0
1,mazda glc custom,gas,hatchback,fwd,122,84,10595.0
0,mazda rx-4,gas,sedan,fwd,122,84,10245.0
0,mazda glc deluxe,diesel,sedan,fwd,122,64,10795.0
0,mazda 626,gas,hatchback,fwd,122,84,11245.0
0,mazda glc,gas,sedan,rwd,140,120,18280.0
0,mazda rx-7 gs,diesel,sedan,rwd,134,72,18344.0
-1,buick electra 225 custom,diesel,sedan,rwd,183,123,25552.0
-1,buick century luxus (sw),diesel,wagon,rwd,183,123,28248.0
0,buick century,diesel,hardtop,rwd,183,123,28176.0
-1,buick skyhawk,diesel,sedan,rwd,183,123,31600.0
-1,buick opel isuzu deluxe,gas,sedan,rwd,234,155,34184.0
3,buick skylark,gas,convertible,rwd,234,155,35056.0
0,buick century special,gas,sedan,rwd,308,184,40960.0
1,buick regal sport coupe (turbo),gas,hardtop,rwd,304,184,45400.0
1,mercury cougar,gas,hatchback,rwd,140,175,16503.0
2,mitsubishi mirage,gas,hatchback,fwd,92,68,5389.0
2,mitsubishi lancer,gas,hatchback,fwd,92,68,6189.0
2,mitsubishi outlander,gas,hatchback,fwd,92,68,6669.0
1,mitsubishi g4,gas,hatchback,fwd,98,102,7689.0
3,mitsubishi mirage g4,gas,hatchback,fwd,110,116,9959.0
3,mitsubishi g4,gas,hatchback,fwd,122,88,8499.0
3,mitsubishi outlander,gas,hatchback,fwd,156,145,12629.0
3,mitsubishi g4,gas,hatchback,fwd,156,145,14869.0
3,mitsubishi mirage g4,gas,hatchback,fwd,156,145,14489.0
1,mitsubishi montero,gas,sedan,fwd,122,88,6989.0
1,mitsubishi pajero,gas,sedan,fwd,122,88,8189.0
1,mitsubishi outlander,gas,sedan,fwd,110,116,9279.0
-1,mitsubishi mirage g4,gas,sedan,fwd,110,116,9279.0
1,Nissan versa,gas,sedan,fwd,97,69,5499.0
1,nissan gt-r,diesel,sedan,fwd,103,55,7099.0
1,nissan rogue,gas,sedan,fwd,97,69,6649.0
1,nissan latio,gas,sedan,fwd,97,69,6849.0
1,nissan titan,gas,wagon,fwd,97,69,7349.0
1,nissan leaf,gas,sedan,fwd,97,69,7299.0
1,nissan juke,gas,hatchback,fwd,97,69,7799.0
1,nissan latio,gas,sedan,fwd,97,69,7499.0
1,nissan note,gas,wagon,fwd,97,69,7999.0
2,nissan clipper,gas,hardtop,fwd,97,69,8249.0
0,nissan rogue,gas,hatchback,fwd,120,97,8949.0
0,nissan nv200,gas,sedan,fwd,120,97,9549.0
0,nissan dayz,gas,sedan,fwd,181,152,13499.0
0,nissan fuga,gas,wagon,fwd,181,152,14399.0
0,nissan otti,gas,sedan,fwd,181,152,13499.0
3,nissan teana,gas,hatchback,rwd,181,160,17199.0
3,nissan kicks,gas,hatchback,rwd,181,200,19699.0
1,nissan clipper,gas,hatchback,rwd,181,160,18399.0
0,peugeot 504,gas,sedan,rwd,120,97,11900.0
0,peugeot 304,diesel,sedan,rwd,152,95,13200.0
0,peugeot 504 (sw),gas,wagon,rwd,120,97,12440.0
0,peugeot 504,diesel,wagon,rwd,152,95,13860.0
0,peugeot 504,gas,sedan,rwd,120,95,15580.0
0,peugeot 604sl,diesel,sedan,rwd,152,95,16900.0
0,peugeot 504,gas,wagon,rwd,120,95,16695.0
0,peugeot 505s turbo diesel,diesel,wagon,rwd,152,95,17075.0
0,peugeot 504,gas,sedan,rwd,120,97,16630.0
0,peugeot 504,diesel,sedan,rwd,152,95,17950.0
0,peugeot 604sl,gas,sedan,rwd,134,142,18150.0
1,plymouth fury iii,gas,hatchback,fwd,90,68,5572.0
1,plymouth cricket,gas,hatchback,fwd,98,102,7957.0
1,plymouth fury iii,gas,hatchback,fwd,90,68,6229.0
1,plymouth satellite custom (sw),gas,sedan,fwd,90,68,6692.0
1,plymouth fury gran sedan,gas,sedan,fwd,98,68,7609.0
-1,plymouth valiant,gas,wagon,fwd,122,88,8921.0
3,plymouth duster,gas,hatchback,rwd,156,145,12764.0
3,porsche macan,gas,hatchback,rwd,151,143,22018.0
3,porcshce panamera,gas,hardtop,rwd,194,207,32528.0
3,porsche cayenne,gas,hardtop,rwd,194,207,34028.0
3,porsche boxter,gas,convertible,rwd,194,207,37028.0
1,porsche cayenne,gas,hatchback,rwd,203,288,31400.5
0,renault 12tl,gas,wagon,fwd,132,90,9295.0
2,renault 5 gtl,gas,hatchback,fwd,132,90,9895.0
3,saab 99e,gas,hatchback,fwd,121,110,11850.0
2,saab 99le,gas,sedan,fwd,121,110,12170.0
3,saab 99le,gas,hatchback,fwd,121,110,15040.0
2,saab 99gle,gas,sedan,fwd,121,110,15510.0
3,saab 99gle,gas,hatchback,fwd,121,160,18150.0
2,saab 99e,gas,sedan,fwd,121,160,18620.0
2,subaru,gas,hatchback,fwd,97,69,5118.0
2,subaru dl,gas,hatchback,fwd,108,73,7053.0
2,subaru dl,gas,hatchback,4wd,108,73,7603.0
0,subaru,gas,sedan,fwd,108,82,7126.0
0,subaru brz,gas,sedan,fwd,108,82,7775.0
0,subaru baja,gas,sedan,fwd,108,94,9960.0
0,subaru r1,gas,sedan,4wd,108,82,9233.0
0,subaru r2,gas,sedan,4wd,108,111,11259.0
0,subaru trezia,gas,wagon,fwd,108,82,7463.0
0,subaru tribeca,gas,wagon,fwd,108,94,10198.0
0,subaru dl,gas,wagon,4wd,108,82,8013.0
0,subaru dl,gas,wagon,4wd,108,111,11694.0
1,toyota corona mark ii,gas,hatchback,fwd,92,62,5348.0
1,toyota corona,gas,hatchback,fwd,92,62,6338.0
1,toyota corolla 1200,gas,hatchback,fwd,92,62,6488.0
0,toyota corona hardtop,gas,wagon,fwd,92,62,6918.0
0,toyota corolla 1600 (sw),gas,wagon,4wd,92,62,7898.0
0,toyota carina,gas,wagon,4wd,92,62,8778.0
0,toyota mark ii,gas,sedan,fwd,98,70,6938.0
0,toyota corolla 1200,gas,hatchback,fwd,98,70,7198.0
0,toyota corona,diesel,sedan,fwd,110,56,7898.0
0,toyota corolla,diesel,hatchback,fwd,110,56,7788.0
0,toyota corona,gas,sedan,fwd,98,70,7738.0
0,toyota corolla,gas,hatchback,fwd,98,70,8358.0
0,toyota mark ii,gas,sedan,fwd,98,70,9258.0
1,toyota corolla liftback,gas,sedan,rwd,98,70,8058.0
1,toyota corona,gas,hatchback,rwd,98,70,8238.0
1,toyota celica gt liftback,gas,sedan,rwd,98,112,9298.0
1,toyota corolla tercel,gas,hatchback,rwd,98,112,9538.0
2,toyota corona liftback,gas,hardtop,rwd,146,116,8449.0
2,toyota corolla,gas,hardtop,rwd,146,116,9639.0
2,toyota starlet,gas,hatchback,rwd,146,116,9989.0
2,toyota tercel,gas,hardtop,rwd,146,116,11199.0
2,toyota corolla,gas,hatchback,rwd,146,116,11549.0
2,toyota cressida,gas,convertible,rwd,146,116,17669.0
-1,toyota corolla,gas,sedan,fwd,122,92,8948.0
-1,toyota celica gt,diesel,sedan,fwd,110,73,10698.0
-1,toyota corona,gas,hatchback,fwd,122,92,9988.0
-1,toyota corolla,gas,sedan,fwd,122,92,10898.0
-1,toyota mark ii,gas,hatchback,fwd,122,92,11248.0
3,toyota corolla liftback,gas,hatchback,rwd,171,161,16558.0
3,toyota corona,gas,hatchback,rwd,171,161,15998.0
-1,toyota starlet,gas,sedan,rwd,171,156,15690.0
-1,toyouta tercel,gas,wagon,rwd,161,156,15750.0
2,vokswagen rabbit,diesel,sedan,fwd,97,52,7775.0
2,volkswagen 1131 deluxe sedan,gas,sedan,fwd,109,85,7975.0
2,volkswagen model 111,diesel,sedan,fwd,97,52,7995.0
2,volkswagen type 3,gas,sedan,fwd,109,85,8195.0
2,volkswagen 411 (sw),gas,sedan,fwd,109,85,8495.0
2,volkswagen super beetle,diesel,sedan,fwd,97,68,9495.0
2,volkswagen dasher,gas,sedan,fwd,109,100,9995.0
3,vw dasher,gas,convertible,fwd,109,90,11595.0
3,vw rabbit,gas,hatchback,fwd,109,90,9980.0
0,volkswagen rabbit,gas,sedan,fwd,136,110,13295.0
0,volkswagen rabbit custom,diesel,sedan,fwd,97,68,13845.0
0,volkswagen dasher,gas,wagon,fwd,109,88,12290.0
-2,volvo 145e (sw),gas,sedan,rwd,141,114,12940.0
-1,volvo 144ea,gas,wagon,rwd,141,114,13415.0
-2,volvo 244dl,gas,sedan,rwd,141,114,15985.0
-1,volvo 245,gas,wagon,rwd,141,114,16515.0
-2,volvo 264gl,gas,sedan,rwd,130,162,18420.0
-1,volvo diesel,gas,wagon,rwd,130,162,18950.0
-1,volvo 145e (sw),gas,sedan,rwd,141,114,16845.0
-1,volvo 144ea,gas,sedan,rwd,141,160,19045.0
-1,volvo 244dl,gas,sedan,rwd,173,134,21485.0
-1,volvo 246,diesel,sedan,rwd,145,106,22470.0
-1,volvo 264gl,gas,sedan,rwd,141,114,22625.0
